Pais;Time
Alemanha;1. FC Heidenheim
Alemanha;1. FC Kaiserslautern
Alemanha;1. FC Koln
Alemanha;1. FC Magdeburg
Alemanha;1. FC Nurnberg
Alemanha;1. FC Saarbrucken
Alemanha;1. FC Schweinfurt
Alemanha;1899 Hoffenheim
Alemanha;Alemannia Aachen
Alemanha;Arminia Bielefeld
Alemanha;Bayer Leverkusen
Alemanha;Bayern Munich
Alemanha;Borussia Dortmund
Alemanha;Borussia Monchengladbach
Alemanha;Darmstadt 98
Alemanha;Dynamo Dresden
Alemanha;Eintracht Braunschweig
Alemanha;Eintracht Frankfurt
Alemanha;Energie Cottbus
Alemanha;Erzgebirge Aue
Alemanha;FC Augsburg
Alemanha;FC Ingolstadt 04
Alemanha;FC St. Pauli
Alemanha;FC Viktoria Koln
Alemanha;Fortuna Dusseldorf
Alemanha;Greuther Furth
Alemanha;Hamburger SV
Alemanha;Hannover 96
Alemanha;Hansa Rostock
Alemanha;Hertha BSC
Alemanha;Holstein Kiel
Alemanha;Jahn Regensburg
Alemanha;Karlsruher SC
Alemanha;MSV Duisburg
Alemanha;Mainz 05
Alemanha;Preussen Munster
Alemanha;RB Leipzig
Alemanha;Rot-Weiss Essen
Alemanha;SC Freiburg
Alemanha;SC Paderborn
Alemanha;SC Verl
Alemanha;SSV Ulm
Alemanha;SV Elversberg
Alemanha;SV Waldhof Mannheim
Alemanha;Schalke 04
Alemanha;TGS Hoffenheim II
Alemanha;TSV 1860 Munchen
Alemanha;TSV Havelse
Alemanha;Union Berlin
Alemanha;VfB Stuttgart
Alemanha;VfB Stuttgart II
Alemanha;VfL Bochum
Alemanha;VfL Osnabruck
Alemanha;VfL Wolfsburg
Alemanha;Wehen Wiesbaden
Alemanha;Werder Bremen
Arabia Saudita;Al Ahli
Arabia Saudita;Al Fayha
Arabia Saudita;Al Hazem
Arabia Saudita;Al Hilal
Arabia Saudita;Al Ittihad
Arabia Saudita;Al Khaleej
Arabia Saudita;Al Kholood
Arabia Saudita;Al Najma
Arabia Saudita;Al Nassr
Arabia Saudita;Al Okhdood
Arabia Saudita;Al Qadsiah
Arabia Saudita;Al Riyadh SC
Arabia Saudita;Al Shabab
Arabia Saudita;Al Taawoun
Arabia Saudita;Al-Fateh
Arabia Saudita;Damac
Arabia Saudita;Ettifaq FC
Arabia Saudita;Neom
Argentina;Aldosivi
Argentina;Argentinos Jrs
Argentina;Atletico Tucuman
Argentina;Banfield
Argentina;Barracas Central
Argentina;Belgrano
Argentina;Boca Juniors
Argentina;Central Cordoba
Argentina;Defensa y Justicia
Argentina;Deportivo Riestra
Argentina;Estudiantes
Argentina;Gimnasia
Argentina;Godoy Cruz
Argentina;Huracan
Argentina;Independiente
Argentina;Independiente Rivadavia
Argentina;Instituto Cordoba
Argentina;Lanus
Argentina;Newell's
Argentina;Platense
Argentina;Racing Club
Argentina;River Plate
Argentina;Rosario Central
Argentina;San Lorenzo
Argentina;San Martin
Argentina;Sarmiento
Argentina;Talleres
Argentina;Tigre
Argentina;Union
Argentina;Velez Sarsfield
Australia;Adelaide United
Australia;Auckland FC
Australia;Brisbane Roar
Australia;Central Coast Mariners
Australia;Macarthur FC
Australia;Melbourne City
Australia;Melbourne Victory
Australia;Newcastle Jets
Australia;Perth Glory
Australia;Sydney FC
Australia;Wellington Phoenix
Australia;Western Sydney Wanderers
Australia;Western United
Austria;Blau-Weiss Linz
Austria;FC Red Bull Salzburg
Austria;FK Austria Wien
Austria;Grazer AK
Austria;LASK
Austria;SCR Altach
Austria;SK Rapid Wien
Austria;SK Sturm Graz
Austria;SV Ried
Austria;TSV Hartberg
Austria;WSG Tirol
Austria;Wolfsberger AC
Azerbaijão;Qarabag FK
Belgica;Cercle Brugge
Belgica;Charleroi
Belgica;Club Brugge
Belgica;Dender EH
Belgica;Genk
Belgica;Gent
Belgica;La Louviere
Belgica;Leuven
Belgica;Mechelen
Belgica;R.S.C Anderlecht
Belgica;Royal Antwerp FC
Belgica;Sint-Truiden
Belgica;Standard Liege
Belgica;Union SG
Belgica;Westerlo
Belgica;Zulte Waregem
Canada;CF Montreal
Canada;Toronto FC
Canada;Vancouver Whitecaps FC
Chequia;Slavia Praha
Chequia;Sparta Praha
Chequia;Viktoria Plzen
Chile;Universidad Catolica
China;Beijing Sinobo Guoan
China;Changchun Yatai
China;Chengdu Rongcheng
China;Dalian Yingbo
China;Henan Jianye
China;Meizhou Hakka
China;Qingdao Hainiu
China;Qingdao West Coast
China;Shandong Luneng Taishan
China;Shanghai Greenland Shenhua
China;Shanghai Port
China;Shenzhen Peng City
China;Tianjin TEDA
China;Wuhan Three Towns
China;Yunnan Yukun
China;Zhejiang
Chipre;APOEL FC
Colômbia;Atletico Nacional
Coreia do Sul;Ansan Greeners
Coreia do Sul;Bucheon FC 1995
Coreia do Sul;Busan IPark
Coreia do Sul;Cheonan City
Coreia do Sul;Chungbuk Cheongju
Coreia do Sul;Chungnam Asan
Coreia do Sul;Daegu FC
Coreia do Sul;Daejeon Hana Citizen
Coreia do Sul;FC Anyang
Coreia do Sul;FC Seoul
Coreia do Sul;Gangwon FC
Coreia do Sul;Gimcheon Sangmu
Coreia do Sul;Gimpo FC
Coreia do Sul;Gwangju FC
Coreia do Sul;Gyeongnam FC
Coreia do Sul;Jeju United
Coreia do Sul;Jeonbuk Hyundai Motors
Coreia do Sul;Jeonnam Dragons
Coreia do Sul;Pohang Steelers
Coreia do Sul;Seongnam FC
Coreia do Sul;Seoul E-Land
Coreia do Sul;Suwon FC
Coreia do Sul;Ulsan Hyundai
Croácia;Dinamo Zagreb
Croácia;Hajduk Split
Dinamarca;Aarhus
Dinamarca;Brondby IF
Dinamarca;FC Kobenhavn
Dinamarca;FC Midtjylland
Dinamarca;FC Nordsjaelland
Dinamarca;Fredericia
Dinamarca;OB Odense
Dinamarca;Randers FC
Dinamarca;Silkeborg IF
Dinamarca;SonderjyskE
Dinamarca;Vejle Boldklub
Dinamarca;Viborg FF
Egito;Al Ahly
Emirados Árabes Unidos;Al Ain FC
Escocia;Aberdeen
Escocia;Celtic
Escocia;Dundee
Escocia;Dundee United
Escocia;Falkirk
Escocia;Heart of Midlothian
Escocia;Hibernian
Escocia;Kilmarnock
Escocia;Livingston
Escocia;Motherwell
Escocia;Rangers
Escocia;St Mirren
Espanha;Alaves
Espanha;Albacete
Espanha;Almeria
Espanha;Andorra
Espanha;Athletic Bilbao
Espanha;Atletico Madrid
Espanha;Burgos
Espanha;Cadiz
Espanha;Castellon
Espanha;Celta Vigo
Espanha;Ceuta
Espanha;Cordoba CF
Espanha;Cultural Leonesa
Espanha;Deportivo La Coruna
Espanha;Eibar
Espanha;Elche
Espanha;Espanyol
Espanha;FC Barcelona
Espanha;Getafe
Espanha;Girona
Espanha;Granada
Espanha;Huesca
Espanha;Las Palmas
Espanha;Leganes
Espanha;Levante
Espanha;Malaga
Espanha;Mallorca
Espanha;Mirandes
Espanha;Osasuna
Espanha;Racing Santander
Espanha;Rayo Vallecano
Espanha;Real Betis
Espanha;Real Madrid
Espanha;Real Oviedo
Espanha;Real Sociedad
Espanha;Real Sociedad B
Espanha;Sevilla
Espanha;Sporting de Gijon
Espanha;Valencia
Espanha;Valladolid
Espanha;Villarreal
Espanha;Zaragoza
Estados Unidos;Atlanta United
Estados Unidos;Austin FC
Estados Unidos;Charlotte FC
Estados Unidos;Chicago Fire
Estados Unidos;Colorado Rapids
Estados Unidos;Columbus Crew SC
Estados Unidos;D.C. United
Estados Unidos;FC Cincinnati
Estados Unidos;FC Dallas
Estados Unidos;Houston Dynamo
Estados Unidos;Inter Miami CF
Estados Unidos;LA Galaxy
Estados Unidos;Los Angeles FC
Estados Unidos;Minnesota United FC
Estados Unidos;Nashville SC
Estados Unidos;New England Revolution
Estados Unidos;New York City FC
Estados Unidos;New York Red Bulls
Estados Unidos;Orlando City
Estados Unidos;Philadelphia Union
Estados Unidos;Portland Timbers
Estados Unidos;Real Salt Lake
Estados Unidos;San Diego FC
Estados Unidos;San Jose Earthquakes
Estados Unidos;Seattle Sounders FC
Estados Unidos;Sporting Kansas City
Estados Unidos;St Louis City
Finlândia;HJK Helsinki
Franca;AS Monaco
Franca;AS Saint-Etienne
Franca;Amiens SC
Franca;Angers SCO
Franca;Auxerre
Franca;Beauleroix FC
Franca;Clermont Foot
Franca;Dunkerque
Franca;En Avant Guingamp
Franca;FC Annecy
Franca;FC Lorient
Franca;FC Metz
Franca;FC Nantes
Franca;Grenoble Foot 38
Franca;Havre AC
Franca;LOSC Lille
Franca;Laval
Franca;Le Mans
Franca;Montpellier HSC
Franca;Nancy
